Player,Team,Match,Over,Span⬇,Mat,Inns,Runs,BF,RR,Wkts,Ave,BpD,Dot%,Bnd%
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",19,2023-2023,1,1,1,1,6,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",19,2023-2023,1,1,8,4,12,1,8,4,25,25
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",18,2023-2023,1,1,4,3,8,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",18,2023-2023,1,1,3,3,6,0,-,-,0,0
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",17,2023-2023,1,1,5,2,15,0,-,-,0,50
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",17,2023-2023,1,1,14,4,21,0,-,-,0,50
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",16,2023-2023,1,1,6,3,12,0,-,-,0,33.33
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",16,2023-2023,1,1,2,3,4,0,-,-,33.3,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",15,2023-2023,1,1,10,3,20,0,-,-,0,33.33
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",15,2023-2023,1,1,11,3,22,0,-,-,0,66.66
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",14,2023-2023,1,1,3,3,6,0,-,-,33.3,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",14,2023-2023,1,1,5,3,10,0,-,-,33.3,33.33
HC Brook,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",13,2023-2023,1,1,0,1,0,0,-,-,100,0
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",13,2023-2023,1,1,0,2,0,1,0,2,100,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",13,2023-2023,1,1,3,3,6,0,-,-,33.3,0
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",12,2023-2023,1,1,2,2,6,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",12,2023-2023,1,1,5,4,7.5,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",11,2023-2023,1,1,10,4,15,0,-,-,0,25
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",11,2023-2023,1,1,2,2,6,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",10,2023-2023,1,1,2,2,6,0,-,-,0,0
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",10,2023-2023,1,1,3,4,4.5,0,-,-,25,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",9,2023-2023,1,1,8,3,16,0,-,-,0,33.33
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",9,2023-2023,1,1,3,3,6,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",8,2023-2023,1,1,5,3,10,0,-,-,33.3,33.33
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",8,2023-2023,1,1,4,3,8,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",7,2023-2023,1,1,5,4,7.5,0,-,-,50,25
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",7,2023-2023,1,1,2,2,6,0,-,-,0,0
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",6,2023-2023,1,1,1,1,6,0,-,-,0,0
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",6,2023-2023,1,1,15,5,18,0,-,-,0,60
H Klaasen,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",5,2023-2023,1,1,5,3,10,0,-,-,33.3,33.33
RA Tripathi,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",5,2023-2023,1,1,0,1,0,1,0,1,100,0
AK Markram,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",5,2023-2023,1,1,1,1,6,0,-,-,0,0
A Sharma,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",5,2023-2023,1,1,0,1,0,1,0,1,100,0
A Sharma,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",4,2023-2023,1,1,5,2,15,0,-,-,0,50
RA Tripathi,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",4,2023-2023,1,1,11,4,16.5,0,-,-,25,50
A Sharma,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",3,2023-2023,1,1,4,6,4,0,-,-,83.3,16.66
RA Tripathi,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",2,2023-2023,1,1,4,3,8,0,-,-,66.6,33.33
A Sharma,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",2,2023-2023,1,1,1,3,2,0,-,-,66.6,0
RA Tripathi,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",1,2023-2023,1,1,0,4,0,0,-,-,100,0
A Sharma,SRH,"Sunrisers Hyderabad v Royal Chal Bangalore at Hyderabad, Tata Indian Premier League, 18 May 2023",1,2023-2023,1,1,1,2,3,0,-,-,50,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",20,2023-2023,1,1,16,7,13.71,1,16,7,57.1,42.85
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",19,2023-2023,1,1,1,3,2,0,-,-,66.6,0
H Brar,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",19,2023-2023,1,1,0,1,0,1,0,1,100,0
SM Curran,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",19,2023-2023,1,1,4,2,12,1,4,2,50,50
SM Curran,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",18,2023-2023,1,1,7,2,21,0,-,-,0,50
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",18,2023-2023,1,1,12,4,18,0,-,-,50,50
SM Curran,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",17,2023-2023,1,1,0,1,0,0,-,-,100,0
M Shahrukh Khan,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",17,2023-2023,1,1,0,1,0,1,0,1,100,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",17,2023-2023,1,1,17,5,20.4,0,-,-,20,60
M Shahrukh Khan,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",16,2023-2023,1,1,6,2,18,0,-,-,50,50
JM Sharma,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",16,2023-2023,1,1,0,3,0,1,0,3,100,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",16,2023-2023,1,1,1,1,6,0,-,-,0,0
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",15,2023-2023,1,1,1,1,6,0,-,-,0,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",15,2023-2023,1,1,10,5,12,0,-,-,20,40
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",14,2023-2023,1,1,2,2,6,0,-,-,0,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",14,2023-2023,1,1,3,4,4.5,0,-,-,25,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",13,2023-2023,1,1,7,2,21,0,-,-,0,50
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",13,2023-2023,1,1,5,4,7.5,0,-,-,25,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",12,2023-2023,1,1,5,2,15,0,-,-,0,50
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",12,2023-2023,1,1,10,4,15,0,-,-,0,50
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",11,2023-2023,1,1,1,2,3,0,-,-,50,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",11,2023-2023,1,1,9,4,13.5,0,-,-,25,25
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",10,2023-2023,1,1,3,3,6,0,-,-,33.3,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",10,2023-2023,1,1,8,3,16,0,-,-,0,33.33
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",9,2023-2023,1,1,2,3,4,0,-,-,33.3,0
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",9,2023-2023,1,1,6,3,12,0,-,-,0,33.33
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",8,2023-2023,1,1,2,3,4,0,-,-,33.3,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",8,2023-2023,1,1,2,3,4,0,-,-,33.3,0
LS Livingstone,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",7,2023-2023,1,1,1,2,3,0,-,-,50,0
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",7,2023-2023,1,1,1,2,3,1,1,2,50,0
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",7,2023-2023,1,1,2,2,6,0,-,-,0,0
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",6,2023-2023,1,1,0,1,0,0,-,-,100,0
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",6,2023-2023,1,1,11,5,13.2,0,-,-,40,40
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",5,2023-2023,1,1,1,1,6,0,-,-,0,0
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",5,2023-2023,1,1,11,5,13.2,0,-,-,40,40
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",4,2023-2023,1,1,12,4,18,0,-,-,25,75
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",4,2023-2023,1,1,0,2,0,0,-,-,100,0
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",3,2023-2023,1,1,2,2,6,0,-,-,50,0
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",3,2023-2023,1,1,0,4,0,0,-,-,100,0
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",2,2023-2023,1,1,6,3,12,0,-,-,33.3,33.33
AY Taide,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",2,2023-2023,1,1,1,2,3,0,-,-,50,0
S Dhawan,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",2,2023-2023,1,1,0,1,0,1,0,1,100,0
Prabhsimran Singh,PBKS,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",1,2023-2023,1,1,0,6,0,0,-,-,100,0
PD Salt,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",20,2023-2023,1,1,4,2,12,0,-,-,50,50
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",20,2023-2023,1,1,17,4,25.5,0,-,-,0,75
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",19,2023-2023,1,1,1,1,6,0,-,-,0,0
PD Salt,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",19,2023-2023,1,1,17,5,20.4,0,-,-,20,60
PD Salt,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",18,2023-2023,1,1,2,2,6,0,-,-,0,0
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",18,2023-2023,1,1,8,4,12,0,-,-,0,25
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",17,2023-2023,1,1,7,4,10.5,0,-,-,25,25
PD Salt,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",17,2023-2023,1,1,1,2,3,0,-,-,50,0
PD Salt,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",16,2023-2023,1,1,2,3,4,0,-,-,33.3,0
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",16,2023-2023,1,1,4,3,8,0,-,-,0,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",15,2023-2023,1,1,0,1,0,1,0,1,100,0
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",15,2023-2023,1,1,9,5,10.8,0,-,-,40,20
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",14,2023-2023,1,1,5,3,10,0,-,-,33.3,33.33
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",14,2023-2023,1,1,8,3,16,0,-,-,0,33.33
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",13,2023-2023,1,1,0,1,0,0,-,-,100,0
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",13,2023-2023,1,1,17,5,20.4,0,-,-,20,60
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",12,2023-2023,1,1,3,2,9,0,-,-,0,0
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",12,2023-2023,1,1,2,4,3,0,-,-,50,0
RR Rossouw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",11,2023-2023,1,1,9,4,13.5,0,-,-,25,50
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",11,2023-2023,1,1,0,1,0,1,0,1,100,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",11,2023-2023,1,1,1,1,6,0,-,-,0,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",10,2023-2023,1,1,3,2,9,0,-,-,0,0
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",10,2023-2023,1,1,7,4,10.5,0,-,-,25,25
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",9,2023-2023,1,1,5,3,10,0,-,-,33.3,33.33
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",9,2023-2023,1,1,2,3,4,0,-,-,33.3,0
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",8,2023-2023,1,1,2,3,4,0,-,-,33.3,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",8,2023-2023,1,1,2,3,4,0,-,-,33.3,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",7,2023-2023,1,1,9,4,13.5,0,-,-,25,50
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",7,2023-2023,1,1,1,2,3,0,-,-,50,0
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",6,2023-2023,1,1,9,4,13.5,0,-,-,25,50
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",6,2023-2023,1,1,1,2,3,0,-,-,50,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",5,2023-2023,1,1,15,6,15,0,-,-,33.3,50
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",4,2023-2023,1,1,12,3,24,0,-,-,33.3,66.66
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",4,2023-2023,1,1,5,3,10,0,-,-,33.3,33.33
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",3,2023-2023,1,1,1,1,6,0,-,-,0,0
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",3,2023-2023,1,1,11,5,13.2,0,-,-,20,40
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",2,2023-2023,1,1,1,3,2,0,-,-,66.6,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",2,2023-2023,1,1,1,3,2,0,-,-,66.6,0
PP Shaw,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",1,2023-2023,1,1,3,3,6,0,-,-,33.3,0
DA Warner,DC,"Delhi Capitals v Punjab Kings at Dharamsala, Tata Indian Premier League, 17 May 2023",1,2023-2023,1,1,1,3,2,0,-,-,66.6,0
TH David,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",20,2023-2023,1,1,3,2,9,0,-,-,0,0
CD Green,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",20,2023-2023,1,1,2,4,3,0,-,-,50,0
TH David,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",19,2023-2023,1,1,14,7,12,0,-,-,57.1,28.57
CD Green,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",18,2023-2023,1,1,2,2,6,0,-,-,50,0
TH David,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",18,2023-2023,1,1,2,2,6,0,-,-,0,0
V Vinod,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",18,2023-2023,1,1,1,3,2,1,1,3,66.6,0
TH David,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",17,2023-2023,1,1,6,4,9,0,-,-,75,25
V Vinod,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",17,2023-2023,1,1,1,1,6,0,-,-,0,0
N Wadhera,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",17,2023-2023,1,1,0,1,0,1,0,1,100,0
N Wadhera,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",16,2023-2023,1,1,4,4,6,0,-,-,25,0
TH David,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",16,2023-2023,1,1,2,2,6,0,-,-,0,0
N Wadhera,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",15,2023-2023,1,1,4,3,8,0,-,-,66.6,33.33
TH David,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",15,2023-2023,1,1,5,2,15,0,-,-,0,50
SA Yadav,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",15,2023-2023,1,1,0,1,0,1,0,1,100,0
SA Yadav,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",14,2023-2023,1,1,3,2,9,0,-,-,0,0
N Wadhera,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",14,2023-2023,1,1,5,4,7.5,0,-,-,50,25
SA Yadav,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",13,2023-2023,1,1,0,2,0,0,-,-,100,0
N Wadhera,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",13,2023-2023,1,1,1,4,1.5,0,-,-,75,0
SA Yadav,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",12,2023-2023,1,1,1,1,6,0,-,-,0,0
N Wadhera,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",12,2023-2023,1,1,2,4,3,0,-,-,50,0
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",12,2023-2023,1,1,0,1,0,1,0,1,100,0
SA Yadav,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",11,2023-2023,1,1,1,1,6,0,-,-,0,0
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",11,2023-2023,1,1,10,5,12,0,-,-,20,40
SA Yadav,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",10,2023-2023,1,1,2,2,6,0,-,-,50,0
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",10,2023-2023,1,1,4,2,12,1,4,2,50,50
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",10,2023-2023,1,1,3,2,9,0,-,-,0,0
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",9,2023-2023,1,1,5,2,15,0,-,-,0,50
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",9,2023-2023,1,1,3,4,4.5,0,-,-,50,0
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",8,2023-2023,1,1,3,3,6,0,-,-,33.3,0
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",8,2023-2023,1,1,2,3,4,0,-,-,33.3,0
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",7,2023-2023,1,1,9,4,13.5,0,-,-,25,50
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",7,2023-2023,1,1,2,2,6,0,-,-,0,0
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",6,2023-2023,1,1,8,3,16,0,-,-,0,33.33
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",6,2023-2023,1,1,2,3,4,0,-,-,33.3,0
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",5,2023-2023,1,1,7,3,14,0,-,-,33.3,33.33
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",5,2023-2023,1,1,2,3,4,0,-,-,33.3,0
IP Kishan,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",4,2023-2023,1,1,3,2,9,0,-,-,0,0
RG Sharma,MI,"Lucknow Super Giants v Mumbai Indians at Lucknow, Tata Indian Premier League, 16 May 2023",4,2023-2023,1,1,7,4,10.5,0,-,-,50,25
